"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 05:30:03 GMT 2024","Mon Jul 15 05:30:03 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 1 + 2 = 3",""
"failed","Mon Jul 15 05:30:03 GMT 2024","Mon Jul 15 05:30:03 GMT 2024","11","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 1 + 100 = 102",""
"passed","Mon Jul 15 05:30:02 GMT 2024","Mon Jul 15 05:30:02 GMT 2024","39","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","divisionByZeroError","divisionByZeroError()",""
"failed","Mon Jul 15 05:30:03 GMT 2024","Mon Jul 15 05:30:03 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","1 + 1 = 2","1 + 1 = 2()",""
"passed","Mon Jul 15 05:30:03 GMT 2024","Mon Jul 15 05:30:03 GMT 2024","56","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 0 + 1 = 1",""
"passed","Mon Jul 15 05:30:03 GMT 2024","Mon Jul 15 05:30:03 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 49 + 51 = 100",""
