"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 67 + 82 = 150",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 15 + 71 = 87",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 55 + 25 = 80",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","6","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 18 + 41 = 60",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 57 + 48 = 105",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","11","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 57 + 75 = 133",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 50 + 22 = 72",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 88 + 11 = 100",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 6 + 45 = 52",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","8","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 84 + 89 = 174",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","8","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 23 + 40 = 64",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","10","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 90 + 97 = 188",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 96 + 16 = 113",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 2 + 29 = 32",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","10","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 37 + 79 = 117",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","9","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 42 + 42 = 85",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 75 + 50 = 126",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","9","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 40 + 7 = 48",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 9 + 47 = 57",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","9","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 26 + 82 = 109",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 3 + 61 = 65",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","19","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 75 + 89 = 165",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 59 + 88 = 148",""
"passed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 74 + 90 = 164",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 89 + 71 = 161",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 2 + 86 = 89",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","6","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 40 + 9 = 50",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","89","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 14 + 48 = 63",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 37 + 23 = 61",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","13","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 68 + 74 = 143",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","7","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 8 + 62 = 71",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 2 + 11 = 14",""
